ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Sant'Angelo in Lizzola,Sant'Angelo in Lizzola,,Vallefoglia,0.047066953,4225.988796,7584.939726,0.035006416,3602.813492,7198.680328,0.055604863,6676.725926,4855.690411,0.059305902,8794.180769,4384.049315,,,
Sant'Angelo in Vado,,,Sant'Angelo in Vado,0.035138457,3200.027397,2077.49589,0.028638162,2942.866667,2095.106557,0.041678886,8501.352273,2111.380822,0.041042873,11838.72093,2095.369863,Marche,Pesaro e Urbino,Centro
Salza Irpina,,,Salza Irpina,0.051916843,1408.473684,365.969863,0.033403304,1967.916667,359.2459016,0.049320251,5125.5,364.9616438,0.068197275,4384.92,366.5835616,Campania,Avellino,Sud
Sassocorvaro,Sassocorvaro,,Sassocorvaro Auditore,0.038516852,4712.180952,2726.079452,0.03689836,3497.68,2710.147541,0.038605232,2265.246154,1683.709589,0.03422262,3526.539683,1840.887671,Marche,Pesaro e Urbino,Centro
Sassofeltrio,,,Sassofeltrio,0.041356218,2821.172414,701.2246575,0.048263986,3606.794118,704.4590164,0.055495761,2211.447368,684.7369863,0.063333996,3725.682927,647.3616438,Marche,Pesaro e Urbino,Centro
Agugliano,,,Agugliano,0.039242609,3502.71875,2446.320548,0.034640706,3950.627907,2482.628415,0.053360164,3084.588235,2548.717808,0.052585421,5594.738095,2396.10137,Marche,Ancona,Centro
Serra Sant'Abbondio,,,Serra Sant'Abbondio,0.021880678,5993.076923,594.1315068,0.025133795,2370.666667,596.8060109,0.032976167,2070.25,606.4986301,0.016949546,1631.8,589.9863014,Marche,Pesaro e Urbino,Centro
Santa Lucia di Serino,,,Santa Lucia di Serino,0.017308496,4152.545455,635.5260274,0.028434792,2928.388889,633.0273224,0.039131013,3383.64,638.8794521,0.052100293,2899.9375,614.2,Campania,Avellino,Sud
Sant'Andrea di Conza,,,Sant'Andrea di Conza,0.028892329,3053.277778,623.0027397,0.031115208,3039.157895,610.6338798,0.044543178,2163.592593,606.1534247,0.028401289,2617.764706,598.5643836,Campania,Avellino,Sud
Tavoleto,,,Tavoleto,0.036641393,5620,463.9561644,0.032904158,2128.928571,425.4781421,0.042560634,5566.444444,422.9260274,0.038288554,3553.8125,417.8794521,Marche,Pesaro e Urbino,Centro
